n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,0.028504304,0.32,300,
10,10,1,51.0,OPTIMAL,0.047338238000000005,0.36,300,
11,11,1,79.0,OPTIMAL,0.057923365000000004,0.40,300,
12,12,1,54.0,OPTIMAL,0.058004860000000005,0.40,300,
13,13,2,103.0,OPTIMAL,0.10900925,0.44,300,
14,14,1,50.0,OPTIMAL,0.223935346,0.56,300,
15,15,2,106.0,OPTIMAL,0.504939322,0.85,300,
16,16,2,113.0,OPTIMAL,0.926380041,1.29,300,
17,17,2,105.0,OPTIMAL,75.951646403,76.19,300,
18,18,2,118.0,FEASIBLE,300.014608199,300.42,300,
19,19,2,106.0,OPTIMAL,6.689369655,7.51,300,
20,20,3,171.0,OPTIMAL,2.565670575,3.11,300,
21,21,2,108.0,OPTIMAL,8.600520826,9.06,300,
22,22,3,156.0,FEASIBLE,300.020654674,300.51,300,
23,23,2,116.0,FEASIBLE,300.011305632,300.53,300,
24,24,2,158.0,FEASIBLE,300.016434253,300.62,300,
25,25,3,204.0,FEASIBLE,300.015632723,300.58,300,
26,26,3,158.0,FEASIBLE,300.01884433600003,300.62,300,
27,27,3,158.0,FEASIBLE,300.017283787,300.64,300,
28,28,3,158.0,FEASIBLE,300.017597914,300.67,300,
29,29,3,178.0,FEASIBLE,300.018010472,300.70,300,
30,30,3,182.0,FEASIBLE,300.017347009,300.74,300,
31,31,4,215.0,FEASIBLE,300.02333418200004,300.81,300,
32,32,3,171.0,FEASIBLE,300.01857992600003,300.86,300,
33,33,3,165.0,FEASIBLE,300.021502982,300.86,300,
34,34,3,165.0,FEASIBLE,300.022859112,300.92,300,
35,35,4,213.0,FEASIBLE,300.021022644,300.99,300,
36,36,5,299.0,FEASIBLE,300.030696041,301.04,300,
37,37,3,163.0,FEASIBLE,300.021985372,301.11,300,
38,38,4,252.0,FEASIBLE,300.02168177000004,301.09,300,
39,39,4,229.0,FEASIBLE,300.022056453,301.21,300,
40,40,5,263.0,FEASIBLE,300.024403478,301.26,300,
41,41,4,225.0,FEASIBLE,300.02466997,301.29,300,
42,42,6,367.0,FEASIBLE,300.024780786,301.36,300,
43,43,4,237.0,FEASIBLE,300.02558146300004,301.40,300,
44,44,4,283.0,FEASIBLE,300.03866539200004,301.48,300,
45,45,4,220.0,FEASIBLE,300.02784509500003,301.49,300,
46,46,5,272.0,FEASIBLE,300.025993534,301.60,300,
47,47,6,313.0,FEASIBLE,300.03078603800003,301.72,300,
48,48,5,269.0,FEASIBLE,300.030267766,301.78,300,
49,49,5,273.0,FEASIBLE,300.03068343300004,301.90,300,
50,50,5,291.0,FEASIBLE,300.041136634,302.00,300,
51,51,6,328.0,FEASIBLE,300.032887666,302.89,300,
52,52,6,345.0,FEASIBLE,300.033880372,302.14,300,
53,53,6,382.0,FEASIBLE,300.034877567,302.15,300,
54,54,5,260.0,FEASIBLE,300.035054331,302.33,300,
90,90,10,567.0,FEASIBLE,300.102410652,308.40,300,
120,120,14,760.0,FEASIBLE,300.18938779300004,317.99,300,
150,150,22,1454.0,FEASIBLE,300.33075019200004,333.32,300,
180,180,31,1818.0,FEASIBLE,300.52374153700003,359.00,300,
210,210,41,2770.0,FEASIBLE,300.770136568,402.10,300,
240,240,28,1972.0,FEASIBLE,301.060616303,428.29,300,
270,270,,,NO SOLUTION FOUND,,316.92,300,
300,300,,,NO SOLUTION FOUND,,296.41,300,
330,330,,,NO SOLUTION FOUND,,341.09,300,
360,360,,,NO SOLUTION FOUND,,425.22,300,
550,550,,,NO SOLUTION FOUND,,1000.03,300,
600,600,,,NO SOLUTION FOUND,,1006.02,300,
