n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,2.7000000045518390834e-05,0.00,None,
10,10,1,51,None,3.7999998312443494797e-05,0.00,None,
11,11,1,79,None,3.500000093481503427e-05,0.00,None,
12,12,1,54,None,3.8999998650979250669e-05,0.00,None,
13,13,2,145,None,3.8999998650979250669e-05,0.00,None,
14,14,1,55,None,4.300000000512227416e-05,0.00,None,
15,15,2,106,None,6.9000001531094312668e-05,0.00,None,
16,16,2,130,None,4.7000001359265297651e-05,0.00,None,
17,17,2,105,None,5.5000000429572537541e-05,0.00,None,
18,18,2,121,None,5.6000000768108293414e-05,0.00,None,
19,19,2,129,None,5.6000000768108293414e-05,0.00,None,
20,20,3,188,None,5.2999999752501025796e-05,0.00,None,
21,21,2,120,None,5.9999998484272509813e-05,0.00,None,
22,22,3,171,None,6.2999999499879777431e-05,0.00,None,
23,23,2,147,None,8.8000000687316060066e-05,0.00,None,
24,24,3,181,None,0.00010099999781232327223,0.00,None,
25,25,4,237,None,7.4000003223773092031e-05,0.00,None,
26,26,3,161,None,7.2000002546701580286e-05,0.00,None,
27,27,3,180,None,6.9000001531094312668e-05,0.00,None,
28,28,3,158,None,8.199999865610152483e-05,0.00,None,
29,29,3,186,None,8.3999999333173036575e-05,0.00,None,
30,30,3,182,None,7.8999997640494257212e-05,0.00,None,
31,31,4,215,None,8.2999998994637280703e-05,0.00,None,
32,32,3,187,None,8.7000000348780304193e-05,0.00,None,
33,33,3,178,None,8.3999999333173036575e-05,0.00,None,
34,34,3,182,None,8.9000001025851815939e-05,0.00,None,
35,35,4,237,None,9.6999996458180248737e-05,0.00,None,
36,36,5,345,None,9.6999996458180248737e-05,0.00,None,
37,37,3,163,None,9.6999996458180248737e-05,0.00,None,
38,38,4,260,None,0.00010599999950500205159,0.00,None,
39,39,4,229,None,0.00014000000373926013708,0.00,None,
40,40,4,236,None,0.00014499999815598130226,0.00,None,
41,41,4,251,None,0.00010900000052060931921,0.00,None,
42,42,7,412,None,0.00010800000018207356334,0.00,None,
43,43,4,243,None,0.00011100000119768083096,0.00,None,
44,44,5,356,None,0.00016599999798927456141,0.00,None,
45,45,4,239,None,0.00011700000322889536619,0.00,None,
46,46,5,301,None,0.0001209999973070807755,0.00,None,
47,47,5,284,None,0.00019099999917671084404,0.00,None,
48,48,5,287,None,0.00012700000661425292492,0.00,None,
49,49,5,275,None,0.00013400000170804560184,0.00,None,
50,50,5,314,None,0.00012700000661425292492,0.00,None,
51,51,5,291,None,0.00015900000289548188448,0.00,None,
52,52,6,358,None,0.00013899999612476676702,0.00,None,
53,53,6,404,None,0.0001320000010309740901,0.00,None,
54,54,5,278,None,0.00013699999544769525528,0.00,None,
90,90,10,591,None,0.00023200000578071922064,0.00,None,
120,120,13,701,None,0.00033000000985339283943,0.00,None,
150,150,14,770,None,0.00054699997417628765106,0.00,None,
180,180,17,965,None,0.00057999999262392520905,0.00,None,
210,210,19,1098,None,0.00078300002496689558029,0.00,None,
240,240,20,1161,None,0.00081100000534206628799,0.00,None,
270,270,23,1243,None,0.0012049999786540865898,0.00,None,
300,300,30,1817,None,0.0012430000351741909981,0.00,None,
330,330,33,1942,None,0.0014750000555068254471,0.00,None,
360,360,34,2052,None,0.0015600000042468309402,0.00,None,
550,550,48,2841,None,0.003244000021368265152,0.00,None,
600,600,61,3633,None,0.0038300000596791505814,0.00,None,
650,650,64,3775,None,0.0047410000115633010864,0.00,None,
700,700,67,3835,None,0.0052579999901354312897,0.00,None,
750,750,69,4017,None,0.0052439998835325241089,0.00,None,
800,800,76,4489,None,0.0064710001461207866669,0.00,None,
850,850,76,4503,None,0.0066650002263486385345,0.00,None,
900,900,78,4625,None,0.0074350000359117984772,0.01,None,
950,950,89,5308,None,0.0088290004059672355652,0.01,None,
10000,10000,922,53952,None,0.79743099212646484375,0.80,None,
1000,1000,94,5579,None,0.0097399996593594551086,0.01,None,
2000,2000,188,11217,None,0.031479001045227050781,0.03,None,
3000,3000,273,16019,None,0.043864998966455459595,0.04,None,
4000,4000,371,21701,None,0.076730996370315551758,0.08,None,
5000,5000,465,27568,None,0.12371399998664855957,0.12,None,
6000,6000,556,32746,None,0.17641399800777435303,0.17,None,
7000,7000,653,38368,None,0.22958800196647644043,0.23,None,
8000,8000,740,43364,None,0.2837269902229309082,0.28,None,
9000,9000,839,49632,None,0.3744379878044128418,0.38,None,
