n_packs,n_bins,cost,run_time
7,3,300.0,2.8666666670081515e-05
10,10,51.0,3.733333263274593e-05
11,11,79.0,4.166666743306754e-05
12,12,54.0,4.3333332238641255e-05
13,13,145.0,4.166666622040793e-05
14,14,55.0,5.066666684191053e-05
15,15,106.0,5.2666667518982045e-05
16,16,130.0,5.100000028808912e-05
17,17,105.0,6.000000090959171e-05
18,18,121.0,7.866666783229448e-05
19,19,129.0,6.0666666589289285e-05
20,20,188.0,5.5666666109270104e-05
21,21,120.0,6.633333153634642e-05
22,22,171.0,7.133333444168481e-05
23,23,147.0,7.566666560402761e-05
24,24,181.0,8.166666520992294e-05
25,25,237.0,7.333333390609671e-05
26,26,161.0,7.233333356756096e-05
27,27,180.0,7.13333332290252e-05
28,28,158.0,8.099999831756577e-05
29,29,186.0,7.933333351199205e-05
30,30,182.0,8.26666655484587e-05
31,31,215.0,9.733333232967804e-05
32,32,187.0,0.0001006666667914639
33,33,178.0,9.899999956057097e-05
34,34,182.0,9.533333407792573e-05
35,35,237.0,0.00010199999815085903
36,36,345.0,0.00011966666352236643
37,37,163.0,9.666666543732087e-05
38,38,260.0,0.00010433333227410913
39,39,229.0,0.00011200000153621659
40,40,236.0,0.00012033333284004281
41,41,251.0,0.00011766666769593333
42,42,412.0,0.00011200000153621659
43,43,243.0,0.00011333333289561172
44,44,356.0,0.00015299999601362893
45,45,239.0,0.00012766666865597168
46,46,301.0,0.00013933333442158377
47,47,284.0,0.00017199999516985068
48,48,287.0,0.00013366666583654782
49,49,275.0,0.0001363333334059765
50,50,314.0,0.00013433333757954338
51,51,291.0,0.0001540000036281223
52,52,358.0,0.00014199999956569323
53,53,404.0,0.00013566666651361933
54,54,278.0,0.00013999999403798333
90,90,591.0,0.0002433333381001527
120,120,701.0,0.0003376666766901811
150,150,770.0,0.0005423333301829795
180,180,965.0,0.0006043333366202811
210,210,1098.0,0.0006120000131583462
240,240,1161.0,0.0006940000069638094
270,270,1243.0,0.0009346666823451718
300,300,1817.0,0.001061999995727092
330,330,1942.0,0.001222333366361757
360,360,2052.0,0.0013736666490634282
550,550,2841.0,0.0027086667250841856
600,600,3633.0,0.003548666679610809
650,650,3775.0,0.004021666633586089
700,700,3835.0,0.00428799989943703
750,750,4017.0,0.004741999863957365
800,800,4489.0,0.0055253333412110806
850,850,4503.0,0.006285000126808882
900,900,4625.0,0.006752333293358485
950,950,5308.0,0.007791333521405856
10000,10000,53952.0,0.6636853317419688
1000,1000,5579.0,0.008694666437804699
2000,2000,11217.0,0.028994334240754444
3000,3000,16019.0,0.05242866650223732
4000,4000,21701.0,0.09303899854421616
5000,5000,27568.0,0.12473366409540176
6000,6000,32746.0,0.18255666395028433
7000,7000,38368.0,0.2325203319390615
8000,8000,43364.0,0.292302002509435
9000,9000,49632.0,0.368711660305659
