n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,2.308,2.43,300,
10,10,1,51.0,OPTIMAL,2.74,2.88,300,
11,11,1,79.0,OPTIMAL,14.575,14.74,300,
12,12,1,54.0,OPTIMAL,8.269,8.43,300,
13,13,2,103.0,FEASIBLE,300.25,300.47,300,
14,14,1,50.0,OPTIMAL,28.666,28.88,300,
15,15,2,106.0,FEASIBLE,300.434,300.75,300,
16,16,2,112.99999999999999,FEASIBLE,300.459,300.85,300,
17,17,2,105.0,FEASIBLE,301.133,301.63,300,
18,18,2,147.0,FEASIBLE,300.634,301.05,300,
19,19,2,106.0,FEASIBLE,300.757,301.19,300,
20,20,7,465.99999999999994,FEASIBLE,300.888,301.32,300,
21,21,3,210.0,FEASIBLE,301.006,301.47,300,
22,22,6,461.0,FEASIBLE,301.318,301.66,300,
23,23,14,1108.0,FEASIBLE,301.287,301.83,300,
24,24,5,356.0,FEASIBLE,301.883,302.57,300,
25,25,22,1601.0,FEASIBLE,301.969,302.67,300,
26,26,9,622.0,FEASIBLE,301.999,302.80,300,
27,27,,,NO SOLUTION FOUND,,303.03,300,
28,28,16,1190.0,FEASIBLE,303.301,304.12,300,
29,29,18,1415.0,FEASIBLE,303.592,304.47,300,
30,30,29,2144.0,FEASIBLE,304.051,305.05,300,
31,31,30,2249.0,FEASIBLE,303.274,304.36,300,
32,32,17,1224.0,FEASIBLE,304.966,306.12,300,
33,33,20,1429.0,FEASIBLE,305.228,306.50,300,
34,34,11,803.0,FEASIBLE,305.835,307.19,300,
35,35,22,1723.0,FEASIBLE,305.265,306.71,300,
36,36,36,2795.0,FEASIBLE,308.106,309.58,300,
37,37,23,1750.0,FEASIBLE,307.016,308.75,300,
38,38,15,1193.0,FEASIBLE,311.969,313.87,300,
39,39,38,2895.0,FEASIBLE,308.95,310.83,300,
40,40,39,2964.0,FEASIBLE,317.795,319.84,300,
41,41,17,1304.0,FEASIBLE,321.267,323.58,300,
42,42,41,3115.0,FEASIBLE,310.797,313.12,300,
43,43,42,3178.0,FEASIBLE,318.502,321.11,300,
44,44,26,2030.0,FEASIBLE,321.887,324.75,300,
45,45,,,NO SOLUTION FOUND,,322.77,300,
46,46,,,NO SOLUTION FOUND,,313.54,300,
47,47,,,NO SOLUTION FOUND,,314.55,300,
48,48,,,NO SOLUTION FOUND,,315.49,300,
49,49,,,NO SOLUTION FOUND,,316.73,300,
50,50,,,NO SOLUTION FOUND,,317.77,300,
51,51,,,NO SOLUTION FOUND,,319.10,300,
52,52,,,NO SOLUTION FOUND,,320.30,300,
53,53,,,NO SOLUTION FOUND,,321.79,300,
54,54,,,NO SOLUTION FOUND,,323.10,300,
90,90,,,NO SOLUTION FOUND,,136.85,300,
120,120,,,NO SOLUTION FOUND,,183.11,300,
150,150,,,NO SOLUTION FOUND,,330.93,300,
180,180,,,NO SOLUTION FOUND,,575.83,300,
210,210,,,NO SOLUTION FOUND,,788.26,300,
240,240,,,NO SOLUTION FOUND,,798.64,300,
270,270,,,NO SOLUTION FOUND,,786.99,300,
300,300,,,NO SOLUTION FOUND,,771.55,300,
330,330,,,NO SOLUTION FOUND,,785.33,300,
360,360,,,NO SOLUTION FOUND,,778.31,300,
550,550,,,NO SOLUTION FOUND,,790.39,300,
600,600,,,NO SOLUTION FOUND,,783.52,300,
