n_packs,n_bins,cost,run_time
7,3,250.0,3.1766666666666663
10,10,51.0,2.642
11,11,79.0,14.003
12,12,54.0,7.898
13,13,103.0,300.24500000000006
14,14,50.0,27.73466666666667
15,15,106.0,300.4066666666667
16,16,112.99999999999999,300.47266666666667
17,17,105.0,300.7416666666666
18,18,133.0,300.65000000000003
19,19,106.0,300.789
20,20,465.99999999999994,301.0606666666667
21,21,210.0,301.0763333333333
22,22,569.0,301.21133333333336
23,23,1108.0,301.3633333333333
24,24,356.0,301.66333333333336
25,25,1601.0,301.887
26,26,622.0,301.98966666666666
28,28,1190.0,304.03433333333334
29,29,1415.0,303.8066666666667
30,30,2144.0,303.52
31,31,2249.0,303.887
32,32,1224.0,306.49533333333335
33,33,1429.0,306.537
34,34,803.0,306.05833333333334
35,35,1723.0,309.12433333333337
36,36,2795.0,309.35200000000003
37,37,1750.0,308.55
38,38,1193.0,309.72866666666664
39,39,2895.0,308.145
40,40,2964.0,317.50966666666665
41,41,1304.0,315.537
42,42,3115.0,317.38366666666667
43,43,3178.0,314.32766666666663
44,44,2030.0,318.9026666666667
